ccc,자료유형,등록번호,자료명,저자,출판사,출판년도,청구기호,등록일,수정일,자료상태,소장처,반납예정일,화폐구분,입수구분,가격,isbn,sortnum,tag1,tag2,tag3,g_tag,s_tag
1,단행본,OKYA014617,네가 되어 줄게,조남주,문학동네,2024,813.6 조192ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,12500,9791141600945,813,⚫ 문학,🇰🇷 한국,📔 소설,,
2,단행본,OKYA014616,한국인은 참지 않아,신서현 글 | 엄주 그림,풀빛,2024,911 신54ㅎ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791194636106,911,🟤 역사,🌏 아시아,🪭 한국,,
3,단행본,OKYA014615,최초의 아이,로이스 로리 글 | 강나은 옮김,비룡소,2024,843 로298ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9788949123561,843,⚫ 문학,🇬🇧🇺🇸 영미,📔 소설,,
4,단행본,OKYA014614,(청소년을 위한)쇄미록,오희문 글 | 서윤희 풀어씀,사회평론아카데미,2024,911.0553 오97ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17500,9791167071422,911,🟤 역사,🌏 아시아,🪭 한국,,
5,단행본,OKYA014613,채널명은 비밀입니다,전수경,창비,2024,813.6 전56ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9788936457297,813,⚫ 문학,🇰🇷 한국,📔 소설,,
6,단행본,OKYA014612,지금처럼 살려면 몇 개의 지구가 필요할까?,오승현 글 | 황정하 그림,개암나무,2024,331.544 오57ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9788968308383,331,⚪ 사회과학,🌐 사회,🧑‍🤝‍🧑 사회학,,
7,단행본,OKYA014611,좋아한다는 거짓말,허진희,위즈덤하우스,2024,813.6 허78ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791171712830,813,⚫ 문학,🇰🇷 한국,📔 소설,,
8,단행본,OKYA014610,점퍼,고정욱,생각학교,2024,813.6 고74ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13500,9791193811252,813,⚫ 문학,🇰🇷 한국,📔 소설,,
9,단행본,OKYA014609,의대 합격 따라 하기,이해웅,타임북스,2024,377.37 이93ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791193794906,377,🔵 총류,📝 대학입시,,,
10,단행본,OKYA014608,(비문학과 통합과학을 준비하는)요즘 청소년을 위한 화학의 쓸모,정병진,청어람미디어,2024,430 정44ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791158712624,430,🟢 자연과학,🧪 화학,📦 교양•기타,,
11,단행본,OKYA014607,썸 타는 수학,임청,초록비책공방,2024,410 임83ㅆ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791193296967,410,🟢 자연과학,🔢 수학,📦 교양•기타,,
